query,rest_mean,graphql_mean,diff_ms,diff_percent,p_value,cohens_d,effect_size,significativo
simple,338.34384169996764,398.788248533386,60.444406833418384,17.864787055003806,0.0061949919909238815,0.5781474711181164,Médio,SIGNIFICATIVO
complex,1507.3473778999717,523.8589888667017,-983.48838903327,-65.24629978813913,1.862645149230957e-09,-6.5767229679413095,Grande,SIGNIFICATIVO
medium,552.9841500666711,467.6132513999619,-85.3708986667092,-15.438218013376401,0.0004183966666460037,-0.7624082220774392,Médio,SIGNIFICATIVO
